Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test Case,DEPI-187,10342,Swag Labs - Login with blank password,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 9:05 PM,02/May/25 12:02 AM,
Test Case,DEPI-179,10334,Swag Labs - Login with blank username,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:44 PM,02/May/25 12:02 AM,
Test Case,DEPI-178,10333,Swag Labs - Login with invalid username	,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:36 PM,02/May/25 12:03 AM,
Test Case,DEPI-176,10331,Swag Labs - Login with invalid password (various  users),MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 7:24 PM,02/May/25 12:02 AM,
Test Case,DEPI-170,10325,Swag Labs - Login with valid credentials (various  users),MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 6:07 PM,02/May/25 12:02 AM,
Test Case,DEPI-144,10299,Swag Labs-Verify that user can't checkout When leave the required fields empty,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,High,Done,Done,11/Apr/25 1:52 PM,02/May/25 12:28 AM,
Test Case,DEPI-143,10298,Swag Labs-Verify that user can't checkout When with an empty cart,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,High,Done,Done,11/Apr/25 1:50 PM,02/May/25 12:11 AM,
Test Case,DEPI-142,10297,"Swag Labs-Verify that ""Finish"" Button Redirects to Confirmation Page",Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Medium,Done,Done,11/Apr/25 1:39 PM,02/May/25 12:11 AM,
Test Case,DEPI-141,10296,"Swag Labs-Verify that all of the data return success When enter the ""Continue"" button",Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,High,Done,Done,11/Apr/25 1:35 PM,02/May/25 12:11 AM,
Test Case,DEPI-139,10294,Swag Labs-Verify that user can checkout When enter all of the fields (All Form),Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,High,Done,Done,11/Apr/25 1:21 PM,02/May/25 12:11 AM,
Test Case,DEPI-138,10293,Swag Labs-Verify that user can checkout When enter the required fields only,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Medium,Done,Done,11/Apr/25 1:13 PM,02/May/25 12:11 AM,
Test Case,DEPI-137,10292,"Swag Labs-Verify that ""Code"" field does not accept letters or special characters",Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Medium,Done,Done,11/Apr/25 1:08 PM,02/May/25 12:11 AM,
Test Case,DEPI-136,10291,"Swag Labs-Verify that ""Checkout"" button functionality working successfully ",Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,Helana Emad,712020:24b79199-f630-4c89-b8ed-4e33c85e1bc4,High,Done,Done,11/Apr/25 1:01 PM,02/May/25 12:27 AM,
Test Case,DEPI-114,10269,Swag Labs - Remove product from cart from product details page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 9:16 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-113,10268,Swag Labs - Remove product from cart from cart page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 8:58 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-112,10267,Swag Labs - Remove product from cart from products page,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,shahd mahmoud,712020:093e43f9-a4d7-4723-82f3-0c0cb4b64ab4,High,Done,Done,10/Apr/25 8:52 PM,27/Apr/25 4:12 PM,
Test Case,DEPI-82,10156,Swag Labs - Availability of Sorting options.,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,09/Apr/25 1:20 PM,26/Apr/25 1:09 PM,
Test Case,DEPI-80,10154,Swag Labs - View product list - check the product list ,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,09/Apr/25 1:07 PM,26/Apr/25 1:08 PM,
